Nodo,Calle Horizontal,Calle Vertical,Latitud,Longitud
0,W Devon Ave,N Pulaski Rd,41.997248,-87.728917
1,W Devon Ave,N Springfield Ave,41.997248,-87.726318
2,W Devon Ave,N Avers Ave,41.997248,-87.725194
3,W Devon Ave,N Hamlin Ave,41.997248,-87.723901
4,W Devon Ave,N Ridgeway Ave,41.997248,-87.722704
5,W Devon Ave,N Lawndale Ave,41.997248,-87.721386
6,W Devon Ave,N Central Park Ave,41.997248,-87.718848
7,W Devon Ave,N Kedzie Ave,41.997248,-87.709577
8,W Devon Ave,N Troy St,41.997248,-87.708126
9,W Devon Ave,N Albany Ave,41.997248,-87.706917
10,W Devon Ave,N Whipple St,41.997248,-87.705709
11,W Devon Ave,N Sacramento Ave,41.997248,-87.7045
12,W Devon Ave,N Richmond St,41.997248,-87.702203
13,W Devon Ave,N Francisco Ave,41.997248,-87.701961
14,W Devon Ave,N Mozart St,41.997248,-87.700692
15,W Devon Ave,N California Ave,41.997248,-87.699544
16,W Devon Ave,N Fairfield Ave,41.997248,-87.698456
17,W Devon Ave,N Washtenaw Ave,41.997248,-87.697126
18,W Devon Ave,N Talman Ave,41.997248,-87.695917
19,W Devon Ave,N Rockwell St,41.997248,-87.694709
20,W Devon Ave,N Maplewood Ave,41.997248,-87.6935
21,W Devon Ave,N Artesian Ave,41.997248,-87.691082
22,W Devon Ave,N Western Ave,41.997248,-87.689874
23,W Devon Ave,N Leavit St,41.997248,-87.684918
24,W Devon Ave,N Hoyne Ave,41.997248,-87.6825
25,W Devon Ave,N Seeley Ave,41.997248,-87.681533
26,W Devon Ave,N Whichester Ave,41.997248,-87.678511
27,W Rosemont Ave,N Springfield Ave,41.995319,-87.726318
28,W Rosemont Ave,N Avers Ave,41.995319,-87.725194
29,W Rosemont Ave,N Hamlin Ave,41.995319,-87.723901
30,W Rosemont Ave,N Ridgeway Ave,41.995319,-87.722704
31,W Rosemont Ave,N Lawndale Ave,41.995319,-87.721387
32,W Rosemont Ave,N Central Park Ave,41.995319,-87.718848
33,W Rosemont Ave,N Drake Ave,41.995319,-87.71776
34,W Rosemont Ave,N St Louis Ave,41.995319,-87.716467
35,W Rosemont Ave,N Kedzie Ave,41.995319,-87.709577
36,W Rosemont Ave,N Troy St,41.995319,-87.708127
37,W Rosemont Ave,N Albany Ave,41.995319,-87.706918
38,W Rosemont Ave,N Whipple St,41.995319,-87.705709
39,W Rosemont Ave,N Sacramento Ave,41.995319,-87.704501
40,W Rosemont Ave,N Richmond St,41.995319,-87.702204
41,W Rosemont Ave,N Francisco Ave,41.995319,-87.701962
42,W Rosemont Ave,N Mozart St,41.995319,-87.700693
43,W Rosemont Ave,N California Ave,41.995319,-87.699545
44,W Rosemont Ave,N Fairfield Ave,41.995319,-87.698457
45,W Rosemont Ave,N Washtenaw Ave,41.995319,-87.697127
46,W Rosemont Ave,N Talman Ave,41.995319,-87.695918
47,W Rosemont Ave,N Rockwell St,41.995319,-87.69471
48,W Rosemont Ave,N Maplewood Ave,41.995319,-87.693501
49,W Rosemont Ave,N Artesian Ave,41.995319,-87.691084
50,W Rosemont Ave,N Western Ave,41.995319,-87.689875
51,W Rosemont Ave,N Leavit St,41.995319,-87.684919
52,W Rosemont Ave,N Hoyne Ave,41.995319,-87.682502
53,W Rosemont Ave,N Seeley Ave,41.995319,-87.681535
54,W Rosemont Ave,N Whichester Ave,41.995319,-87.678513
55,W Granville Ave,N Pulaski Rd,41.993688,-87.728917
56,W Granville Ave,N Springfield Ave,41.993688,-87.726318
57,W Granville Ave,N Avers Ave,41.993688,-87.725194
58,W Granville Ave,N Hamlin Ave,41.993688,-87.723901
59,W Granville Ave,N Ridgeway Ave,41.993688,-87.722704
60,W Granville Ave,N Lawndale Ave,41.993688,-87.721387
61,W Granville Ave,N Central Park Ave,41.993688,-87.718848
62,W Granville Ave,N Drake Ave,41.993688,-87.717761
63,W Granville Ave,N St Louis Ave,41.993688,-87.716467
64,W Granville Ave,N Bernard St,41.993688,-87.715138
65,W Granville Ave,N Kimball Ave,41.993688,-87.713929
66,W Granville Ave,N Kedzie Ave,41.993688,-87.709578
67,W Granville Ave,N Troy St,41.993688,-87.708127
68,W Granville Ave,N Albany Ave,41.993688,-87.706919
69,W Granville Ave,N Whipple St,41.993688,-87.70571
70,W Granville Ave,N Sacramento Ave,41.993688,-87.704501
71,W Granville Ave,N Richmond St,41.993688,-87.702205
72,W Granville Ave,N Francisco Ave,41.993688,-87.701963
73,W Granville Ave,N Mozart St,41.993688,-87.700694
74,W Granville Ave,N California Ave,41.993688,-87.699545
75,W Granville Ave,N Fairfield Ave,41.993688,-87.698458
76,W Granville Ave,N Washtenaw Ave,41.993688,-87.697128
77,W Granville Ave,N Talman Ave,41.993688,-87.695919
78,W Granville Ave,N Rockwell St,41.993688,-87.694711
79,W Granville Ave,N Maplewood Ave,41.993688,-87.693502
80,W Granville Ave,N Artesian Ave,41.993688,-87.691085
81,W Granville Ave,N Western Ave,41.993688,-87.689876
82,W Granville Ave,N Leavit St,41.993688,-87.68492
83,W Granville Ave,N Hoyne Ave,41.993688,-87.682503
84,W Granville Ave,N Seeley Ave,41.993688,-87.681536
85,W Granville Ave,N Whichester Ave,41.993688,-87.678514
86,W Glenlake Ave,N Pulaski Rd,41.991786,-87.728917
87,W Glenlake Ave,N Springfield Ave,41.991786,-87.726318
88,W Glenlake Ave,N Avers Ave,41.991786,-87.725194
89,W Glenlake Ave,N Hamlin Ave,41.991786,-87.723901
90,W Glenlake Ave,N Ridgeway Ave,41.991786,-87.722704
91,W Glenlake Ave,N Lawndale Ave,41.991786,-87.721387
92,W Glenlake Ave,N Central Park Ave,41.991786,-87.718849
93,W Glenlake Ave,N Drake Ave,41.991786,-87.717761
94,W Glenlake Ave,N St Louis Ave,41.991786,-87.716468
95,W Glenlake Ave,N Bernard St,41.991786,-87.715138
96,W Glenlake Ave,N Kimball Ave,41.991786,-87.713929
97,W Glenlake Ave,N Christiana Ave,41.991786,-87.712963
98,W Glenlake Ave,N Kedzie Ave,41.991786,-87.709578
99,W Glenlake Ave,N Troy St,41.991786,-87.708128
100,W Glenlake Ave,N Albany Ave,41.991786,-87.706919
101,W Glenlake Ave,N Whipple St,41.991786,-87.705711
102,W Glenlake Ave,N Sacramento Ave,41.991786,-87.704502
103,W Glenlake Ave,N Richmond St,41.991786,-87.702205
104,W Glenlake Ave,N Francisco Ave,41.991786,-87.701964
105,W Glenlake Ave,N Mozart St,41.991786,-87.700695
106,W Glenlake Ave,N California Ave,41.991786,-87.699546
